0.0686	0.13	0.123
-0.102	-0.0823	-0.101
-0.16	-0.113	-0.0576
-0.13	-0.0705	-0.0735
-0.156	-0.0703	-0.125
-0.117	-0.0384	-0.0895
-0.165	-0.0664	-0.155
-0.0654	-0.0658	-0.048
-0.13	-0.0849	-0.131
-0.138	-0.0972	-0.132
-0.15	-0.0709	-0.116
-0.149	-0.0903	-0.141
-0.179	-0.0935	-0.166
-0.193	-0.0789	-0.058
-0.0851	-0.0883	-0.0908
-0.158	-0.0343	-0.124
-0.0691	-0.0504	-0.0756
-0.12	-0.0576	-0.026
-0.122	-0.0988	-0.113
-0.141	-0.0782	-0.135
-0.132	-0.111	-0.111
-0.145	-0.0435	-0.112
-0.18	-0.0892	-0.111
-0.105	-0.0633	-0.103
-0.179	-0.088	-0.134
-0.158	-0.0721	-0.0986
-0.135	-0.0891	-0.126
-0.0499	-0.0334	-0.105
-0.182	-0.067	-0.0658
-0.119	-0.0886	-0.0759
-0.12	-0.0837	-0.0723
-0.096	-0.108	-0.0545
-0.101	-0.0445	-0.129
-0.132	-0.0777	-0.0804
-0.153	-0.0811	-0.138
-0.143	-0.0997	-0.103
-0.144	-0.1	-0.0645
-0.165	-0.036	-0.0991
-0.149	-0.0809	-0.125
-0.1	-0.0183	-0.0507
-0.133	-0.0629	-0.1
-0.156	-0.0673	-0.0771
-0.0914	-0.116	-0.109
-0.161	-0.0747	-0.111
-0.181	-0.0789	-0.101
-0.104	-0.0846	-0.0523
-0.155	-0.12	-0.117
-0.129	-0.0846	-0.107
-0.156	-0.157	-0.1
-0.153	-0.0993	-0.133
-0.0968	-0.0818	-0.0845
-0.164	-0.0264	-0.0297
-0.135	-0.045	-0.0988
-0.174	-0.0843	-0.0748
-0.157	-0.0765	-0.0874
-0.126	-0.126	-0.0779
-0.102	-0.0763	-0.13
-0.154	-0.0814	-0.084
-0.147	-0.0864	-0.118
-0.114	-0.111	-0.122
-0.141	-0.121	-0.0906
-0.157	-0.0716	-0.074
-0.149	-0.0851	-0.0965
-0.134	-0.0786	-0.0842
-0.18	-0.0757	-0.0598
-0.139	-0.0258	-0.0636
-0.116	-0.0634	-0.165
-0.116	-0.156	-0.154
-0.125	-0.0859	-0.151
-0.139	-0.103	-0.0618
-0.158	-0.114	-0.12
-0.171	-0.0453	-0.0983
-0.131	-0.128	-0.0987
-0.137	-0.0285	-0.123
-0.124	-0.035	-0.114
-0.0843	-0.0973	-0.0488
-0.145	-0.0571	-0.12
-0.12	-0.14	-0.083
-0.147	-0.117	-0.121
-0.16	-0.0882	-0.0684
-0.101	-0.12	-0.0937
-0.151	-0.0684	-0.131
-0.133	-0.103	-0.0861
-0.122	-0.0516	-0.0906
-0.18	-0.0776	-0.122
-0.111	-0.106	-0.0942
-0.156	-0.0918	-0.0427
-0.127	-0.0442	-0.0597
-0.159	-0.07	-0.104
-0.121	-0.0924	-0.11
-0.172	-0.0554	-0.119
-0.137	-0.0759	-0.032
-0.114	-0.0621	-0.117
-0.1	-0.0903	-0.153
-0.143	-0.0302	-0.129
-0.172	-0.125	-0.0565
-0.101	-0.0992	-0.0777
